timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704197962393,3187,Business,200,OK,Thread Group 1-3,text,true,,1469789,389,9,9,https://www.simplilearn.com/business,69,0,0
1704197962393,69,Business-0,301,Moved Permanently,Thread Group 1-3,text,true,,577,130,9,9,http://www.simplilearn.com/business/,69,0,0
1704197962463,91,Business-1,301,Moved Permanently,Thread Group 1-3,text,true,,720,130,9,9,https://www.simplilearn.com/business/,91,0,0
1704197962555,3025,Business-2,200,OK,Thread Group 1-3,text,true,,1468492,129,9,9,https://www.simplilearn.com/business,230,0,0
1704197954866,10806,Business,200,OK,Thread Group 1-8,text,true,,1469774,389,9,9,https://www.simplilearn.com/business,386,0,0
1704197954866,386,Business-0,301,Moved Permanently,Thread Group 1-8,text,true,,577,130,9,9,http://www.simplilearn.com/business/,386,0,0
1704197955252,73,Business-1,301,Moved Permanently,Thread Group 1-8,text,true,,720,130,9,9,https://www.simplilearn.com/business/,73,0,0
1704197955325,10347,Business-2,200,OK,Thread Group 1-8,text,true,,1468477,129,9,9,https://www.simplilearn.com/business,320,0,0
1704197964658,1310,Resource,200,OK,Thread Group 1-7,text,true,,234368,392,9,9,https://www.simplilearn.com/resources,73,0,0
1704197964658,74,Resource-0,301,Moved Permanently,Thread Group 1-7,text,true,,578,131,9,9,http://www.simplilearn.com/resources/,73,0,0
1704197964732,105,Resource-1,301,Moved Permanently,Thread Group 1-7,text,true,,449,131,9,9,https://www.simplilearn.com/resources/,105,0,0
